N,param,value,true_value
10,α,-0.02625165153084813,0.2887835233469382
10,α,0.09068065680048776,0.3196716353383924
10,α,-0.014879346875420696,0.5941015975429939
10,α,-0.39790727735673187,0.6533469847398271
10,α,0.0827672870962346,0.2956326897787237
10,α,0.2485411614228747,0.16803487453953625
10,α,-0.01743157965950881,0.5537188443303396
10,α,-0.030395265398666133,0.1424910230072484
10,α,-0.08372325107941803,0.4168928583769433
10,α,0.03879614639207024,0.17842252351133964
10,α,-0.10975015415601608,0.9100496252855682
10,α,0.2148681584505977,0.6316095676126426
10,α,-0.5493918613143545,0.7325880465042586
10,α,-0.17417138352085249,0.6933976958685301
10,α,-0.2778219469967925,0.8816676772272543
10,α,0.0172672008814988,0.3410741659115759
10,α,-0.08774843676621119,0.4472847955328288
10,α,0.010638881531440658,0.8423745404346443
10,α,0.04471588431127571,0.21750514658465941
10,α,-0.3508857221040437,0.6195472345441869
10,α,0.4793606741381121,0.28567583043737743
10,α,-0.12096116017153336,0.5971333471562038
10,α,-0.5011741530793505,0.5978187218820669
10,α,-0.2624063528280493,0.7240578430738126
10,α,0.11550457196130953,0.15864499659831632
10,α,0.024840082516046413,0.7415825151456109
10,α,0.4465394630980938,0.47046796700826266
10,α,0.43145270697636756,0.34193611081123104
10,α,0.24499911799496393,0.31365145616079654
10,α,0.15500531440824108,0.21291027533691378
10,α,-0.489632136631594,0.7173409962221942
10,α,0.08938433354203695,0.3631221182351937
10,α,-0.21363114932987026,0.8379394925713742
10,α,0.23637887680585284,0.330379924424648
10,α,-0.22191884158435046,0.4151197277801792
10,α,-0.30479453518861344,0.9203736450723454
10,α,0.07087884183481402,0.29132214473639456
10,α,-0.19903854468166782,0.8393197813563866
10,α,-0.013600406709733392,0.7524404004820494
10,α,0.21786002100266721,0.1013559082789649
10,α,0.013974878417402525,0.4989949330580632
10,α,-0.24809434036799682,0.6121554075998722
10,α,0.28040126318796066,0.48414813084700525
10,α,0.27268068567152415,0.37576276982525025
10,α,0.04140883942151513,0.22840159132717225
10,α,-0.05357249791820928,0.7710949584362112
10,α,0.06708237978216447,0.4753218933317638
10,α,-0.0835410884875093,0.7320905836481669
10,α,0.2927085527428099,0.4641329562796031
10,α,0.09745471568645114,0.13564422204240947
10,α,-0.352573439998844,0.6837274039076691
10,α,-0.23298953196733474,0.49279346404906893
